Name,Occupation,Services,Age,Availability,Location,Rating
Junia Chinn,Analyst Programmer,"Child Care,Seniors,Mental Health",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,5.3
Stanleigh Kelledy,Health Coach I,Overnight,63,"Monday,Tuesday,Wednesday,Thursday,Saturday",Carp,6.8
Querida Curzey,Computer Systems Analyst I,"Child Care,Seniors,Medical",23,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,8.3
Anita Baniard,Geological Engineer,"Driving,Computer",31,Saturday,Nepean,4.7
Brynne Somerton,Physical Therapy Assistant,Overnight,18,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.2
Carey Mc Pake,Account Coordinator,"Child Care,Seniors,Medical",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,5.9
Sigfried Barsham,Assistant Professor,Overnight,63,"Monday,Tuesday,Wednesday,Friday",Glebe,6.3
Basilius Jankovsky,Environmental Specialist,"Medical,Computer",59,"Tuesday,Wednesday,Thursday,Friday",Barhaven,7.5
Ado Diemer,Editor,"Child Care,Seniors,Mental Health",53,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.1
Arne Aughton,Administrative Assistant II,"Child Care,Seniors,Overnight",27,"Thursday,Saturday",Centretown,8
Konstantine Behling,Occupational Therapist,"Child Care,Driving,Mental Health",31,"Sunday,Monday,Tuesday,Thursday,Saturday",Carleton Place,5.6
Cornela Carlon,Project Manager,"Child Care,Seniors,Mental Health",25,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.9
Sigrid Simcock,Recruiting Manager,"Seniors,Medical,Mental Health",28,"Tuesday,Friday",Rockland,8.6
Ingar Jeannesson,Business Systems Development Analyst,"Child Care,Seniors,Tutoring",30,"Sunday,Tuesday,Wednesday,Friday,Saturday",Kanata,7.6
Gay Carbry,Recruiting Manager,"Child Care,Seniors,Language",65,"Monday,Wednesday,Thursday,Friday",Sandy Hill,6.9
Carny Chillcot,Analyst Programmer,"Overnight,Medical",34,"Sunday,Monday,Tuesday,Wednesday,Friday",Glebe,7.1
Sayre Baillie,Financial Analyst,"Disability,Seniors,Overnight",19,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.3
Jess Hampe,Systems Administrator III,Medical,57,Tuesday,Kemptvile,7.5
Andris Rosbottom,Product Engineer,Driving,32,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,2.7
Nanon Jurs,Payment Adjustment Coordinator,"Cooking,Medical,Shopping",59,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kanata,7.2
Samuele Iacabucci,Data Coordiator,Medical,26,"Sunday,Monday,Thursday,Saturday",Orleans,6.3
Viviene Aberdein,Office Assistant I,"Child Care,Seniors,Tutoring",48,"Sunday,Tuesday,Thursday,Friday,Saturday",Nepean,6.7
Carlin Coupman,Senior Cost Accountant,"Medical,Computer",65,"Sunday,Monday,Friday,Saturday",Kemptvile,7.3
Nick Younie,General Manager,"Seniors,Medical,Tutoring",25,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kanata,5.6
Matteo Harley,VP Accounting,"Child Care,Seniors,Mental Health",43,"Tuesday,Wednesday",Sandy Hill,7.1
Godart Creak,Junior Executive,Medical,39,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Barhaven,3.7
Richart Nottingam,Research Associate,"Child Care,Seniors,Tutoring",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,8.1
Norene Mastrantone,Project Manager,"Child Care,Seniors,Tutoring",60,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,5.8
Georgianne Stiven,Health Coach II,"Overnight,Medical",18,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,5.6
Arny Delnevo,Statistician I,"Child Care,Maternal,Computer",37,"Sunday,Friday",Southkeys,7.2
Cloe Exon,Systems Administrator IV,"Child Care,Maternal,Medical",35,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Carleton Place,9
Giffie Ferson,Graphic Designer,"Seniors,Medical,Shopping",38,"Sunday,Wednesday",Nepean,7.3
Clotilda Privost,Physical Therapy Assistant,"Maternal,Driving,Computer",20,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Downtown,7.2
Veronike Banbrigge,Legal Assistant,"Medical,Spiritual",22,"Sunday,Monday,Tuesday,Wednesday,Saturday",Centretown,7.4
Yard Espinha,VP Sales,"Overnight,Medical,Spiritual",56,"Monday,Friday,Saturday",Rockland,7
Mireielle Allenby,Structural Analysis Engineer,"Cooking,Medical",55,"Tuesday,Wednesday,Thursday,Saturday",Sandy Hill,7.5
Lothario Kennham,Data Coordiator,"Child Care,Seniors,Mental Health",32,"Sunday,Wednesday,Thursday",Centretown,6.7
Henka Estick,Graphic Designer,"Driving,Cleaning,Computer",56,"Monday,Saturday",Orleans,6.8
Kamillah Codlin,Information Systems Manager,"Maternal,Medical,Cleaning",55,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Centretown,6.5
Allyn Tyreman,Automation Specialist III,"Medical,Spiritual,Computer",64,Saturday,Barhaven,4.1
Matthaeus Blesdill,Staff Scientist,"Medical,Cleaning,Mental Health",22,"Sunday,Monday,Thursday,Saturday",Carleton Place,8.5
Brian Roncelli,Biostatistician IV,"Child Care,Seniors,Overnight",27,"Friday,Saturday",Sandy Hill,7.7
Randene Benda,Dental Hygienist,"Medical,Shopping,Computer",37,"Sunday,Wednesday,Thursday,Saturday",Downtown,7.4
Agnes Toderini,Design Engineer,"Child Care,Seniors,Mental Health",45,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,8.1
Babbette Statter,Statistician II,Medical,41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Southkeys,7.5
Ryley Dunlea,Analog Circuit Design manager,"Child Care,Medical,Computer",64,"Sunday,Monday,Tuesday,Thursday,Friday",Kanata,7.2
Cass Friary,Payment Adjustment Coordinator,"Medical,Shopping",60,"Tuesday,Thursday",Barhaven,5.9
Dorene Abella,Analyst Programmer,"Child Care,Medical,Spiritual",50,Monday,Rockland,7.1
Lonna Zecchinelli,Analog Circuit Design manager,"Medical,Tutoring",32,"Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,7.5
Hobie Perone,Payment Adjustment Coordinator,"Medical,Spiritual",47,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Barhaven,6.8
Jerry Flavelle,Quality Engineer,"Disability,Seniors,Overnight",21,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Southkeys,8.1
Colin Hastwall,Librarian,"Child Care,Seniors,Tutoring",25,"Sunday,Monday,Wednesday,Saturday",Centretown,7.1
Heidie Tourville,Web Designer II,"Child Care,Mental Health",65,"Sunday,Tuesday,Saturday",Barhaven,8.1
Demetra Cathie,Senior Financial Analyst,"Seniors,Medical,Home Maintenence",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,8.3
Ewell Espinha,Project Manager,"Child Care,Seniors,Tutoring",45,"Monday,Tuesday,Thursday,Saturday",Carleton Place,7.3
Berky Forstall,Programmer IV,"Child Care,Overnight,Tutoring",60,"Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,5.3
Jacqui Giraldez,Sales Representative,"Child Care,Seniors,Mental Health",26,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,8.8
Joaquin Asquez,Marketing Assistant,"Overnight,Medical",21,"Sunday,Tuesday,Friday,Saturday",Barhaven,7.9
Nanete Gayden,Financial Analyst,"Cooking,Overnight,Maternal",51,"Tuesday,Wednesday,Thursday",Barhaven,8.2
Noami Foord,Compensation Analyst,"Maternal,Medical,Cleaning",22,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,8.1
Feodora Barck,Research Associate,"Child Care,Maternal,Computer",52,"Monday,Tuesday,Wednesday,Saturday",Orleans,7.2
Blanch Bydaway,Senior Developer,"Child Care,Seniors,Mental Health",22,"Wednesday,Saturday",Barhaven,7
Leroi Sneddon,Editor,"Maternal,Medical",37,Tuesday,Rockland,6.4
Dannel Cotillard,Senior Sales Associate,"Child Care,Seniors,Tutoring",35,"Sunday,Monday,Tuesday,Saturday",Orleans,7.8
Teena Leinster,Product Engineer,"Maternal,Medical,Cleaning",57,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.8
Sayers Eckh,Data Coordiator,"Child Care,Maternal,Medical",36,"Sunday,Thursday",Glebe,7.4
Alicia Kilrow,Assistant Professor,"Maternal,Medical,Cleaning",49,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Kemptvile,8.1
Dacia Garley,Director of Sales,"Child Care,Seniors,Tutoring",49,"Monday,Tuesday,Thursday,Friday,Saturday",Glebe,7
Sheridan Feek,Recruiter,Medical,48,"Sunday,Tuesday,Thursday,Friday,Saturday",Nepean,8.1
Felice Brislane,VP Accounting,"Overnight,Maternal,Medical",53,"Monday,Wednesday,Friday",Glebe,7.1
Lewiss Haucke,Web Designer IV,"Child Care,Seniors,Mental Health",40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.4
Morgun Tomaszewski,Programmer Analyst II,"Child Care,Overnight,Maternal",49,"Tuesday,Wednesday",Nepean,7.4
Otes Durdan,Community Outreach Specialist,"Disability,Medical,Tutoring",54,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,8.6
Berkeley Rhelton,Budget/Accounting Analyst II,"Driving,Cleaning,Mental Health",39,"Sunday,Tuesday,Wednesday,Friday",Rockland,5.8
Chickie Cassimer,Graphic Designer,"Medical,Cleaning,Computer",62,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,6.3
Marcel Reddell,Civil Engineer,"Maternal,Medical,Computer",48,"Sunday,Monday,Tuesday,Thursday,Saturday",Kemptvile,8.5
Roderich Kase,Business Systems Development Analyst,"Cooking,Maternal,Medical",39,"Sunday,Wednesday,Friday,Saturday",Centretown,7
Nealson Palatini,Registered Nurse,"Child Care,Seniors,Tutoring",37,Friday,Glebe,7
Allx Follis,Safety Technician I,"Seniors,Medical,Mental Health",63,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,8
Sinclare Ebhardt,Professor,"Maternal,Cleaning,Computer",31,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7.9
Kaitlyn Butcher,Developer IV,"Child Care,Seniors,Overnight",51,"Sunday,Monday,Tuesday,Thursday,Saturday",Glebe,7.3
Willow Kingsford,Social Worker,"Maternal,Medical,Computer",28,"Sunday,Monday,Wednesday,Saturday",Nepean,7.7
Pam Sandyford,Nurse Practicioner,Overnight,21,Friday,Carleton Place,5.4
Joseph Piscopo,Recruiter,"Child Care,Seniors,Medical",54,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,6.3
Roarke Shimmings,Safety Technician IV,Medical,45,"Sunday,Monday,Tuesday,Friday,Saturday",Nepean,5.8
Cesaro Cloonan,Speech Pathologist,"Medical,Cleaning,Mental Health",47,"Sunday,Monday,Wednesday",Centretown,7.7
Pavlov Aubrey,Database Administrator IV,"Child Care,Driving,Computer",33,"Monday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.3
Davy Janney,Payment Adjustment Coordinator,"Cooking,Medical,Shopping",37,"Sunday,Monday,Wednesday,Thursday,Friday",Kanata,8.1
Udell Matthessen,Payment Adjustment Coordinator,"Spiritual,Mental Health",42,"Sunday,Tuesday,Wednesday,Friday,Saturday",Nepean,6.1
Travis Arstall,Web Designer III,"Child Care,Tutoring,Home Maintenence",26,"Sunday,Wednesday,Thursday,Saturday",Glebe,7.7
Pearle Moorman,Help Desk Operator,"Seniors,Medical,Tutoring",24,"Sunday,Monday,Wednesday,Saturday",Nepean,8.1
Sandor Fradson,Safety Technician II,Overnight,62,"Tuesday,Thursday",Glebe,5.8
Huey Pettigrew,General Manager,"Driving,Computer",32,Sunday,Orleans,6.2
Jess Marran,Civil Engineer,"Child Care,Cooking,Medical",61,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,8.8
Richart Kleinstein,Editor,"Medical,Driving,Cleaning",50,"Sunday,Monday,Friday,Saturday",Downtown,7.2
Marmaduke Mattiello,Structural Engineer,"Disability,Seniors,Overnight",28,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Glebe,7.4
Kerk Tire,Software Consultant,"Seniors,Medical,Therapy",26,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,6.7
Rodina Beaman,Financial Advisor,"Seniors,Cleaning,Mental Health",64,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Carleton Place,6.7
Nickolas Rubinsohn,Assistant Manager,"Seniors,Overnight,Spiritual",30,Thursday,Glebe,6
Desiree Esser,Environmental Tech,Child Care,41,"Sunday,Thursday,Friday,Saturday",Nepean,7.4
Simone McCullouch,Senior Editor,"Child Care,Computer",18,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carp,8.5
Geoffrey Duncanson,Speech Pathologist,"Seniors,Medical,Therapy",32,Sunday,Kanata,7.5
Wolf Housecraft,VP Product Management,"Child Care,Seniors,Mental Health",57,"Monday,Tuesday,Wednesday,Friday,Saturday",Glebe,5.7
Poppy Drissell,Analog Circuit Design manager,"Seniors,Maternal,Cleaning",19,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Carleton Place,6.6
Julie Prentice,Quality Engineer,"Overnight,Therapy,Counsellingal",49,"Sunday,Monday,Wednesday,Thursday,Friday",Nepean,6.4
Alford Porson,Teacher,"Seniors,Medical,Computer",62,"Sunday,Tuesday,Wednesday",Carleton Place,8
Drew Bunny,VP Sales,Medical,50,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7.3
Shoshanna Legging,GIS Technical Architect,"Seniors,Overnight,Medical",60,"Sunday,Monday,Thursday,Friday,Saturday",Kanata,6
Phillipe Dimitriou,Sales Representative,"Medical,Driving,Computer",20,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Downtown,6.4
Allie Silversmid,Junior Executive,"Medical,Counselling",27,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,8.5
Buddie Hammett,Nurse Practicioner,"Child Care,Maternal,Computer",27,"Sunday,Tuesday,Wednesday,Friday,Saturday",Orleans,7.1
Nevil Lohan,Desktop Support Technician,"Maternal,Medical,Computer",40,"Sunday,Monday,Tuesday,Wednesday,Saturday",Barhaven,7.3
Russell Atyeo,Business Systems Development Analyst,"Maternal,Medical,Computer",62,Wednesday,Glebe,8.1
Mavis Blaxill,Associate Professor,"Medical,Spiritual",40,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.3
Claiborn Blacklidge,Product Engineer,"Cleaning,Computer",62,"Sunday,Tuesday,Thursday,Friday,Saturday",Centretown,8.1
Reagan Benfield,Nurse,"Cleaning,Computer,Language",37,Wednesday,Carp,7.1
Ringo O'Hallagan,Sales Representative,"Child Care,Seniors,Mental Health",31,"Tuesday,Thursday,Friday",Carp,8
Hector Honniebal,Geologist II,"Overnight,Therapy",30,"Wednesday,Thursday",Downtown,6.2
Griff Roberson,Financial Analyst,"Cooking,Overnight,Medical",58,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,7.8
Myrah Beggan,Actuary,Medical,56,"Monday,Thursday,Saturday",Carleton Place,8.2
Olvan St. John,Help Desk Operator,"Medical,Language",56,"Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday",Nepean,8.4
Yank Dyet,Media Manager I,"Medical,Cleaning,Spiritual",28,"Wednesday,Thursday,Saturday",Barhaven,8.1
Hansiain Mariette,Legal Assistant,"Overnight,Medical",48,"Monday,Wednesday,Thursday",Southkeys,7.4
Jessa Gammill,Geological Engineer,"Child Care,Medical,Cleaning",24,"Monday,Wednesday,Friday,Saturday",Carleton Place,7.6
Claybourne Speaks,Registered Nurse,Overnight,44,"Sunday,Tuesday,Wednesday,Friday,Saturday",Glebe,7.6
Emery Fittall,VP Product Management,"Child Care,Seniors,Maternal",21,"Tuesday,Thursday,Friday,Saturday",Carleton Place,6.2
Jennette Bolver,Marketing Manager,"Seniors,Therapy,Tutoring",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,6.4
Tatiania Sakins,Senior Sales Associate,"Seniors,Mental Health,Computer",42,"Sunday,Wednesday,Thursday,Friday",Glebe,7.2
Carlynne Cino,Geologist I,Medical,52,"Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,5.8
Ritchie Hartshorn,Mechanical Systems Engineer,"Child Care,Maternal,Medical",40,"Tuesday,Wednesday,Thursday",Kemptvile,7.6
Garfield Goaks,Media Manager II,"Medical,Driving,Cleaning",19,"Monday,Friday",Nepean,8.1
Demeter Lay,Environmental Specialist,"Child Care,Driving,Mental Health",27,"Sunday,Monday,Wednesday,Thursday",Carleton Place,4.7
Reinhard Birkin,Research Assistant I,"Child Care,Seniors,Mental Health",39,"Sunday,Monday,Wednesday",Sandy Hill,7
Wren Hug,Account Coordinator,"Overnight,Medical,Spiritual",43,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Centretown,7.4
Lea Noquet,Computer Systems Analyst IV,"Child Care,Overnight,Tutoring",61,"Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,7.5
Elvin Buggs,Paralegal,"Child Care,Overnight,Cleaning",49,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Sandy Hill,7.9
Hedwiga Miller,Community Outreach Specialist,"Computer,Home Maintenence",62,"Sunday,Tuesday,Friday,Saturday",Rockland,6
Cameron Farland,Financial Advisor,"Child Care,Overnight,Maternal",52,"Tuesday,Thursday,Friday,Saturday",Nepean,7
Rollins Pues,Marketing Assistant,"Child Care,Seniors,Mental Health",29,"Wednesday,Thursday,Saturday",Centretown,8
Jillayne Ragate,Automation Specialist I,"Child Care,Seniors,Maternal",22,"Sunday,Tuesday,Thursday,Saturday",Rockland,6.1
Nikola Bremond,Senior Sales Associate,"Child Care,Seniors,Computer",33,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,8
Rourke Mazonowicz,Professor,"Medical,Tutoring,Spiritual",20,"Sunday,Tuesday,Thursday,Friday,Saturday",Kemptvile,5.2
Dougy Dahmke,Analog Circuit Design manager,"Child Care,Seniors,Overnight",24,"Sunday,Monday,Tuesday,Thursday,Saturday",Centretown,6.5
Enriqueta Jewitt,Librarian,"Cooking,Medical,Shopping",40,"Sunday,Tuesday,Friday,Saturday",Kanata,7.3
Mikel Itscowics,Software Engineer IV,"Child Care,Medical,Shopping",20,"Sunday,Tuesday,Thursday,Friday,Saturday",Orleans,7.3
Morten Boss,Staff Accountant II,"Child Care,Seniors,Computer",57,Sunday,Southkeys,6.8
Othello Sobczak,Paralegal,"Maternal,Medical,Computer",60,"Monday,Tuesday,Wednesday,Friday",Carp,7.9
Catina Cunradi,Senior Financial Analyst,"Disability,Seniors,Therapy",62,"Sunday,Tuesday,Wednesday",Sandy Hill,7.9
Danica Youhill,Paralegal,"Seniors,Driving",41,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,5.2
Kelci Toderbrugge,Chemical Engineer,"Medical,Spiritual,Mental Health",52,"Sunday,Tuesday",Sandy Hill,8
Renie Haggus,Nurse,"Disability,Seniors,Overnight",57,"Sunday,Monday,Tuesday,Thursday,Friday,Saturday",Carleton Place,7.5
Jarrid Dufty,Associate Professor,"Child Care,Seniors,Therapy",63,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.5
Gay Shortcliffe,Research Assistant III,"Child Care,Seniors,Medical",22,Saturday,Centretown,7.6
Jessamyn Butters,Analog Circuit Design manager,"Child Care,Overnight",47,"Tuesday,Wednesday,Thursday",Sandy Hill,7
Fonz Lerohan,Structural Engineer,"Driving,Cleaning,Computer",39,Sunday,Carleton Place,7.4
Concordia Westwood,General Manager,"Child Care,Seniors,Overnight",35,"Monday,Saturday",Glebe,7.3
Bran Lansberry,Developer III,"Overnight,Spiritual",61,"Monday,Thursday,Friday",Nepean,6.7
Dante Henrie,Nurse,"Driving,Cleaning",60,Friday,Barhaven,6.8
Filmore Swaddle,Physical Therapy Assistant,"Medical,Therapy,Tutoring",35,"Monday,Tuesday,Friday",Southkeys,7
Ash Delves,Clinical Specialist,Mental Health,29,"Monday,Wednesday,Thursday,Friday,Saturday",Barhaven,5.9
Allie Vidgeon,Project Manager,"Medical,Computer",53,"Monday,Tuesday,Wednesday,Friday",Kanata,8
Karita Kirrage,Staff Accountant I,"Medical,Spiritual",45,"Tuesday,Wednesday",Centretown,6
Doll Yankin,Geologist III,"Medical,Home Maintenence",39,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,6.3
Veda Eckersley,Mechanical Systems Engineer,"Medical,Tutoring,Driving",58,"Sunday,Monday,Tuesday,Wednesday",Glebe,6.6
Paloma Jeske,Chief Design Engineer,"Maternal,Medical",58,"Tuesday,Wednesday,Thursday,Friday",Centretown,7.8
Artemus Plewright,Legal Assistant,"Overnight,Medical,Spiritual",36,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sandy Hill,6.3
De Fishley,Mechanical Systems Engineer,"Medical,Spiritual",48,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Carp,7.2
Hilliary Nozzolinii,Information Systems Manager,Medical,57,Friday,Sandy Hill,5.6
Billie Hirjak,Clinical Specialist,"Maternal,Medical,Shopping",33,"Sunday,Monday,Tuesday,Wednesday,Friday,Saturday",Kemptvile,8.1
Kilian Creigan,Assistant Media Planner,"Driving,Mental Health,Computer",38,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,5.8
Vasili Kenningham,Accounting Assistant III,"Child Care,Medical,Hospice",60,"Monday,Tuesday,Saturday",Southkeys,8.2
Emmalynn Costin,Mechanical Systems Engineer,"Child Care,Seniors,Mental Health",23,"Wednesday,Saturday",Downtown,6.9
Lorrayne Battisson,Associate Professor,"Maternal,Medical,Computer",59,"Sunday,Monday,Tuesday,Saturday",Orleans,6.3
Dougie Ingyon,Help Desk Technician,"Seniors,Cooking,Medical",25,"Sunday,Thursday",Glebe,8.1
Gerhard Toplin,Graphic Designer,"Cooking,Medical,Computer",39,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Barhaven,8.1
Alene Mantione,Nurse,"Child Care,Overnight,Maternal",62,Wednesday,Kanata,6.3
Theda MacMaykin,Marketing Assistant,"Child Care,Seniors,Mental Health",45,Thursday,Nepean,7.9
Philbert Asp,Recruiter,"Medical,Tutoring,Driving",18,"Sunday,Monday,Tuesday,Thursday,Saturday",Sandy Hill,6.5
Brana Bockmaster,Internal Auditor,"Cooking,Medical,Computer",53,"Sunday,Tuesday,Wednesday,Friday",Orleans,7.3
Stephanus Kohn,Compensation Analyst,"Child Care,Seniors,Mental Health",41,"Monday,Wednesday,Thursday,Friday",Nepean,7.9
Gweneth Orrow,Occupational Therapist,"Child Care,Seniors,Cleaning",19,Monday,Centretown,5.7
Sande Andrysek,Accounting Assistant I,"Child Care,Seniors,Mental Health",57,"Sunday,Monday,Tuesday,Friday",Orleans,7.8
Lucien Weald,Senior Financial Analyst,"Medical,Driving",27,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Glebe,7.5
Val Gookey,Tax Accountant,"Overnight,Medical,Spiritual",36,"Sunday,Wednesday,Thursday,Friday,Saturday",Rockland,7.5
Tarah Haskayne,Human Resources Assistant IV,"Overnight,Spiritual",40,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,6.8
Gilligan Asals,VP Quality Control,"Medical,Driving,Computer",38,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.7
Giffie Brend,VP Sales,"Child Care,Seniors,Medical",47,"Tuesday,Wednesday,Thursday,Friday,Saturday",Kemptvile,6.1
Ciro Waples,Environmental Tech,Medical,40,Wednesday,Nepean,5.3
Fabe Finker,VP Sales,"Child Care,Seniors,Mental Health",19,Saturday,Sandy Hill,7.1
Dame Iacoboni,Senior Sales Associate,"Child Care,Medical,Cleaning",33,"Sunday,Wednesday,Thursday",Glebe,5.8
Catlaina Vipan,Help Desk Technician,"Child Care,Seniors,Tutoring",53,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Barhaven,7
Stephanie Caplis,Sales Associate,"Child Care,Seniors,Tutoring",53,Friday,Sandy Hill,5.5
